"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.80526481984633e-124,0.625866136118528,0.998,0.995,5.91007596721293e-120,"0","ENSG00000144713"
3.01052330532349e-121,0.703648569278667,0.998,0.992,9.85585119696804e-117,"0","ENSG00000177954"
8.90451151748996e-120,0.688870246783992,1,0.992,2.91515898059586e-115,"0","ENSG00000112306"
1.2467508681574e-118,0.649383570237725,1,0.995,4.0816129921737e-114,"0","ENSG00000137154"
1.0193827006678e-115,0.619068788554652,1,0.995,3.33725508544623e-111,"0","ENSG00000164587"
2.48997495416189e-107,0.751188763490787,0.998,0.976,8.15168000493519e-103,"0","ENSG00000118181"
3.3612009963045e-104,0.748144280336613,0.998,0.965,1.10038998217017e-99,"0","ENSG00000071082"
4.00661818960871e-103,0.744279486401394,0.998,0.972,1.3116866629141e-98,"0","ENSG00000163682"
3.34883123908459e-98,0.556672867707,1,0.997,1.09634037105151e-93,"0","ENSG00000167526"
1.94229351908635e-97,0.59091163880064,0.997,0.996,6.35868052278489e-93,"0","ENSG00000100316"
3.9809289202384e-96,0.662104987645677,0.997,0.992,1.30327650990765e-91,"0","ENSG00000122026"
6.63947917576038e-95,0.593312526098766,1,0.995,2.17363269256043e-90,"0","ENSG00000149273"
3.58546610669858e-92,0.766915076945329,0.995,0.976,1.17380989401098e-87,"0","ENSG00000145425"
1.3141235778346e-90,0.642011283004761,0.998,0.981,4.30217776911492e-86,"0","ENSG00000156482"
2.35262537296662e-90,1.10305909065573,0.906,0.608,7.70202494601813e-86,"0","ENSG00000111716"
2.82441628998833e-90,0.628699390832859,0.997,0.984,9.2465740501638e-86,"0","ENSG00000134419"
1.13846793491014e-88,0.71565347718759,0.987,0.962,3.7271163253088e-84,"0","ENSG00000110700"
3.3682911322691e-88,0.586361205970887,1,0.99,1.10271115088226e-83,"0","ENSG00000177600"
1.86695374966765e-86,0.712343121100592,0.995,0.968,6.11203318566196e-82,"0","ENSG00000143947"
1.35717067686019e-82,0.657746825071953,1,1,4.44310536190489e-78,"0","ENSG00000251562"
3.57476787645625e-81,0.471262293912718,1,0.996,1.17030750739425e-76,"0","ENSG00000142676"
5.21603336225117e-79,0.532633561878865,1,0.988,1.70762500213379e-74,"0","ENSG00000166441"
7.03247364780496e-79,0.587063264967761,1,0.981,2.30229122281839e-74,"0","ENSG00000182899"
7.89737955083395e-78,0.497265305397385,1,0.997,2.58544411735202e-73,"0","ENSG00000231500"
9.02099670056495e-77,0.627692421925965,0.992,0.97,2.95329389983095e-72,"0","ENSG00000233927"
1.45848315025052e-76,0.495449660145433,0.993,0.991,4.77478213729014e-72,"0","ENSG00000156508"
5.82904028652471e-76,2.20448555436986,0.451,0.122,1.90831120900246e-71,"0","ENSG00000126353"
3.25049041669449e-75,0.446124539109744,1,0.999,1.06414555261744e-70,"0","ENSG00000142541"
3.23043708308606e-71,0.7255481317685,0.992,0.908,1.05758049226071e-66,"0","ENSG00000213741"
6.09462909040146e-71,0.569436698460713,0.995,0.983,1.99525967161563e-66,"0","ENSG00000133112"
4.08172857481354e-70,0.681957944460608,0.99,0.944,1.33627630082246e-65,"0","ENSG00000008988"
8.47495322796539e-70,0.530965072008502,1,0.977,2.77453018777131e-65,"0","ENSG00000186468"
4.53606656016666e-69,0.491331002354273,0.997,0.992,1.48501747046736e-64,"0","ENSG00000198034"
9.50896420758577e-69,0.623553832290636,0.987,0.97,3.11304470227943e-64,"0","ENSG00000122406"
7.91348394642047e-68,0.548957857396926,0.997,0.982,2.59071637437913e-63,"0","ENSG00000105193"
4.11861942838361e-67,0.500866060141306,1,0.989,1.34835362846423e-62,"0","ENSG00000198242"
6.05964755851893e-64,0.400027769761135,0.998,0.994,1.98380741770793e-59,"0","ENSG00000108298"
7.34238097021457e-64,1.05323593901381,0.839,0.427,2.40374868202884e-59,"0","ENSG00000167286"
3.07206995037684e-63,0.353796884597201,1,0.998,1.00573426035437e-58,"0","ENSG00000147403"
3.03448092655312e-58,0.512939669783164,0.99,0.986,9.93428365734962e-54,"0","ENSG00000198755"
1.76480308448604e-56,0.540654476342382,0.988,0.95,5.77761233799038e-52,"0","ENSG00000168028"
1.02189648761416e-54,0.415678776813285,1,0.989,3.34548472115123e-50,"0","ENSG00000115268"
1.01219429151573e-50,0.417340956251009,0.995,0.985,3.31372167156419e-46,"0","ENSG00000188846"
3.35362044451226e-50,0.766383166488623,0.919,0.804,1.09790826112442e-45,"0","ENSG00000181163"
9.62693787614037e-50,0.501055294082936,0.988,0.976,3.15166692189083e-45,"0","ENSG00000083845"
1.77294020772013e-49,0.500305262662528,0.998,0.979,5.80425165203415e-45,"0","ENSG00000063177"
4.6444356017941e-49,0.497702687278022,0.988,0.97,1.52049532731535e-44,"0","ENSG00000124614"
6.84558115095324e-49,0.539248507047143,0.987,0.941,2.24110635719907e-44,"0","ENSG00000089157"
1.13107639453878e-48,0.542831832662776,0.988,0.95,3.70291790044105e-44,"0","ENSG00000130255"
9.87703620243506e-43,1.92729014862582,0.346,0.117,3.23354411195319e-38,"0","ENSG00000237943"
2.83759042258209e-42,1.94623415659817,0.339,0.115,9.28970352544924e-38,"0","ENSG00000138795"
3.54376499602065e-42,0.552830808083491,0.982,0.967,1.16015778439724e-37,"0","ENSG00000147604"
1.17021573972133e-41,1.20266023899138,0.629,0.371,3.8310522886997e-37,"0","ENSG00000142546"
1.36879361014189e-41,0.953111016552775,0.715,0.419,4.48115652088252e-37,"0","ENSG00000198851"
2.80400942916334e-41,0.69497275579362,0.909,0.784,9.17976606919494e-37,"0","ENSG00000116251"
6.60785371632676e-41,0.32729280635921,1,0.996,2.16327914965105e-36,"0","ENSG00000140988"
7.69347215520448e-41,0.566811995191749,0.963,0.891,2.51868891417084e-36,"0","ENSG00000241343"
7.77803584938356e-41,0.486439338718538,0.99,0.959,2.54637337637119e-36,"0","ENSG00000174444"
2.58695531091535e-39,0.45327480421582,0.977,0.958,8.46917429687468e-35,"0","ENSG00000265681"
2.9839940821055e-38,0.563381683298008,0.938,0.873,9.76899982599699e-34,"0","ENSG00000114942"
1.70720498832202e-37,0.361612158834738,0.997,0.993,5.58904769076862e-33,"0","ENSG00000105372"
7.09693312221531e-37,1.44211335377058,0.438,0.197,2.32339396555085e-32,"0","ENSG00000100100"
1.87332297822617e-36,0.790239021459759,0.847,0.706,6.13288476611685e-32,"0","ENSG00000133872"
1.73392997363202e-35,0.306588192601241,0.998,0.993,5.67653994767651e-31,"0","ENSG00000105640"
1.74051125365869e-34,0.512261265858896,0.938,0.864,5.6980857422278e-30,"0","ENSG00000133639"
2.58250887839171e-34,0.375850814025167,0.997,0.985,8.45461756607877e-30,"0","ENSG00000142937"
8.76804725764038e-34,0.625365370775376,0.914,0.81,2.87048331120631e-29,"0","ENSG00000105373"
4.03702691610398e-33,0.923450258482013,0.576,0.307,1.32164187179412e-28,"0","ENSG00000173762"
4.16814801236394e-33,0.45014619699081,0.983,0.944,1.36456829628771e-28,"0","ENSG00000114391"
5.56950170197432e-33,0.479489168692407,0.963,0.901,1.82334346719235e-28,"0","ENSG00000197728"
5.62420337717505e-32,0.303151093266822,0.998,0.997,1.84125170161957e-27,"0","ENSG00000137818"
1.51982813564392e-31,2.00118186343524,0.272,0.094,4.97561335047107e-27,"0","ENSG00000172005"
2.27741591377981e-31,0.297391827058857,1,0.99,7.45580421853235e-27,"0","ENSG00000197958"
4.20445476428477e-31,0.497346932032035,0.95,0.877,1.37645440073155e-26,"0","ENSG00000172809"
6.50594009913551e-31,0.673408241805588,0.903,0.907,2.12991466965498e-26,"0","ENSG00000171223"
